date,code,open,high,low,close,volume,amount,adjustflag
2017-01-03,sh.601398,4.4000,4.4300,4.3900,4.4300,104161632,460087744.0000,3
2017-01-04,sh.601398,4.4200,4.4400,4.4100,4.4300,118923425,526408816.0000,3
2017-01-05,sh.601398,4.4300,4.4500,4.4200,4.4400,87356137,387580736.0000,3
2017-01-06,sh.601398,4.4400,4.4500,4.4300,4.4400,87008191,386138112.0000,3
2017-01-09,sh.601398,4.4500,4.4800,4.4300,4.4600,117454094,523539392.0000,3
2017-01-10,sh.601398,4.4500,4.4700,4.4400,4.4600,63663257,283646224.0000,3
2017-01-11,sh.601398,4.4600,4.4800,4.4500,4.4700,52395427,233898107.0000,3
2017-01-12,sh.601398,4.4600,4.4700,4.4400,4.4700,62166279,277258304.0000,3
2017-01-13,sh.601398,4.4500,4.4900,4.4400,4.4900,93851289,419357040.0000,3
2017-01-16,sh.601398,4.4700,4.5800,4.4400,4.5500,302311392,1364412976.0000,3
2017-01-17,sh.601398,4.5200,4.5400,4.5100,4.5300,90022291,407014736.0000,3
2017-01-18,sh.601398,4.5200,4.5400,4.5100,4.5300,68290432,308822016.0000,3
2017-01-19,sh.601398,4.5300,4.5600,4.5000,4.5300,110598840,500585776.0000,3
2017-01-20,sh.601398,4.5200,4.5300,4.5000,4.5200,67870182,306500368.0000,3
2017-01-23,sh.601398,4.5200,4.5300,4.5100,4.5300,77011069,348112272.0000,3
2017-01-24,sh.601398,4.5200,4.5700,4.5200,4.5500,117283449,532631888.0000,3
2017-01-25,sh.601398,4.5500,4.5700,4.5300,4.5600,68255713,310690176.0000,3
2017-01-26,sh.601398,4.5600,4.6000,4.5600,4.6000,84502233,386971696.0000,3
