date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-01-02,sh.600000,11.2578910600,11.4113667200,11.2398351000,11.2578910600,11.1676112600,51629079,647446166.0000,2,0.183700,1,0.808400,5.994733,1.915555,-6.071904,0.762284,0
2020-01-03,sh.600000,11.3481708600,11.4023387400,11.2578910600,11.3752548000,11.2578910600,38018810,477053357.0000,2,0.135300,1,1.042500,6.057229,1.935525,-6.135204,0.770231,0
2020-01-06,sh.600000,11.3030309600,11.4203947000,11.2127511600,11.2488630800,11.3752548000,41001193,514432551.0000,2,0.145900,1,-1.111100,5.989926,1.914019,-6.067035,0.761672,0
2020-01-07,sh.600000,11.2940029800,11.3752548000,11.2488630800,11.2849750000,11.2488630800,28421482,355811756.0000,2,0.101100,1,0.321000,6.009155,1.920164,-6.086512,0.764118,0
2020-01-08,sh.600000,11.2037231800,11.2398351000,11.0592755000,11.1224713600,11.2849750000,35240536,434980266.0000,2,0.125400,1,-1.440000,5.922624,1.892513,-5.998866,0.753114,0
2020-01-09,sh.600000,11.1856672200,11.2217791400,11.1495553000,11.1676112600,11.1224713600,26151448,324168061.0000,2,0.093100,1,0.405800,5.946660,1.900194,-6.023212,0.756171,0
2020-01-10,sh.600000,11.1676112600,11.2127511600,11.1134433800,11.1856672200,11.1676112600,18321252,226580302.0000,2,0.065200,1,0.161700,5.956275,1.903266,-6.032950,0.757393,0
2020-01-13,sh.600000,11.1946952000,11.2037231800,11.1134433800,11.2037231800,11.1856672200,20715566,255982380.0000,2,0.073700,1,0.161400,5.965890,1.906338,-6.042689,0.758616,0
2020-01-14,sh.600000,11.1946952000,11.4565066200,11.1856672200,11.2217791400,11.2037231800,29994561,374971640.0000,2,0.106700,1,0.161200,5.975504,1.909411,-6.052427,0.759839,0
2020-01-15,sh.600000,11.2037231800,11.2398351000,11.0592755000,11.0592755000,11.2217791400,31897217,392531149.0000,2,0.113500,1,-1.448100,5.888972,1.881760,-5.964781,0.748835,0
2020-01-16,sh.600000,11.0863594400,11.1134433800,10.9780236800,11.0141356000,11.0592755000,22454876,274130148.0000,2,0.079900,1,-0.408200,5.864936,1.874080,-5.940435,0.745779,0
2020-01-17,sh.600000,11.0321915600,11.0953874200,10.9780236800,11.0412195400,11.0141356000,17593111,215028083.0000,2,0.062600,1,0.245900,5.879358,1.878688,-5.955043,0.747613,0
2020-01-20,sh.600000,11.0683034800,11.0773314600,11.0051076200,11.0592755000,11.0412195400,23734609,290296136.0000,2,0.084500,1,0.163500,5.888972,1.881760,-5.964781,0.748835,0
2020-01-21,sh.600000,11.0141356000,11.0592755000,10.8696879200,10.9057998400,11.0592755000,31787474,384580844.0000,2,0.113100,1,-1.387800,5.807248,1.855646,-5.882005,0.738443,0
2020-01-22,sh.600000,10.5627366000,10.6891283200,10.5175967000,10.6259324600,10.9057998400,78133556,917203481.0000,2,0.278000,1,-2.566200,5.864338,1.811724,-5.731059,0.719493,0
2020-01-23,sh.600000,10.6078765000,10.6078765000,10.2196733600,10.2467573000,10.6259324600,76534796,879151046.0000,2,0.272300,1,-3.568400,5.655075,1.747074,-5.526553,0.693819,0
2020-02-03,sh.600000,9.2265955600,9.6509106200,9.2265955600,9.4522950600,10.2467573000,95367382,997686058.0000,2,0.339300,1,-7.753300,5.216620,1.611618,-5.098062,0.640025,0
2020-02-04,sh.600000,9.4884069800,9.6960505200,9.4613230400,9.6238266800,9.4522950600,66783767,710434836.0000,2,0.237600,1,1.814700,5.311286,1.640865,-5.190577,0.651640,0
2020-02-05,sh.600000,9.6509106200,9.7321624400,9.5516028400,9.6599386000,9.6238266800,45046658,481639081.0000,2,0.160300,1,0.375200,5.331216,1.647022,-5.210054,0.654085,0
2020-02-06,sh.600000,9.7592463800,9.8043862800,9.6147987000,9.7411904200,9.6599386000,38023801,408101901.0000,2,0.135300,1,0.841100,5.376058,1.660875,-5.253877,0.659586,0
2020-02-07,sh.600000,9.6870225400,9.8495261800,9.6328546600,9.8043862800,9.7411904200,31896956,342581621.0000,2,0.113500,1,0.648700,5.410935,1.671650,-5.287961,0.663865,0
2020-02-10,sh.600000,9.7141064800,9.7863303200,9.6689665800,9.7231344600,9.8043862800,34032121,366391170.0000,2,0.121100,1,-0.828700,5.366093,1.657797,-5.244138,0.658364,0
2020-02-11,sh.600000,9.7682743600,9.8856381000,9.7321624400,9.8043862800,9.7231344600,34856302,378583345.0000,2,0.124000,1,0.835600,5.410935,1.671650,-5.287961,0.663865,0
2020-02-12,sh.600000,9.7863303200,9.8224422400,9.7141064800,9.8043862800,9.8043862800,26313927,284693716.0000,2,0.093600,1,0.000000,5.410935,1.671650,-5.287961,0.663865,0
